,node_size,ordering_heuristic,evidence_size,evidence_type,iterations,time_taken
259,11,random,1,Lowest Evidence,9,0.14988327026367188
260,11,random,3,25% Evidence,0,0.1573946475982666
261,11,random,3,25% Evidence,1,0.15955591201782227
262,11,random,3,25% Evidence,2,0.14804720878601074
263,11,random,3,25% Evidence,3,0.15335631370544434
264,11,random,3,25% Evidence,4,0.15951156616210938
265,11,random,3,25% Evidence,5,0.14446091651916504
266,11,random,3,25% Evidence,6,0.15814733505249023
267,11,random,3,25% Evidence,7,0.14538097381591797
268,11,random,3,25% Evidence,8,0.14571237564086914
269,11,random,3,25% Evidence,9,0.15968632698059082
270,11,random,6,50% Evidence,0,0.1609344482421875
271,11,random,6,50% Evidence,1,0.159898042678833
272,11,random,6,50% Evidence,2,0.1624131202697754
273,11,random,6,50% Evidence,3,0.1587998867034912
274,11,random,6,50% Evidence,4,0.1467604637145996
275,11,random,6,50% Evidence,5,0.14084291458129883
276,11,random,6,50% Evidence,6,0.16033577919006348
277,11,random,6,50% Evidence,7,0.15057730674743652
278,11,random,6,50% Evidence,8,0.15084505081176758
279,11,random,6,50% Evidence,9,0.14818406105041504
280,11,random,8,75% Evidence,0,0.17081594467163086
281,11,random,8,75% Evidence,1,0.16420483589172363
282,11,random,8,75% Evidence,2,0.16111159324645996
283,11,random,8,75% Evidence,3,0.1672379970550537
284,11,random,8,75% Evidence,4,0.15903234481811523
285,11,random,8,75% Evidence,5,0.14474916458129883
286,11,random,8,75% Evidence,6,0.1587231159210205
287,11,random,8,75% Evidence,7,0.15503525733947754
288,11,random,8,75% Evidence,8,0.15631937980651855
289,11,random,8,75% Evidence,9,0.15162301063537598
290,11,random,10,Maximum Evidence,0,0.15383100509643555
291,11,random,10,Maximum Evidence,1,0.15684127807617188
292,11,random,10,Maximum Evidence,2,0.1549978256225586
293,11,random,10,Maximum Evidence,3,0.1395723819732666
294,11,random,10,Maximum Evidence,4,0.15276789665222168
295,11,random,10,Maximum Evidence,5,0.1581568717956543
296,11,random,10,Maximum Evidence,6,0.14692330360412598
297,11,random,10,Maximum Evidence,7,0.1539609432220459
298,11,random,10,Maximum Evidence,8,0.15514183044433594
299,11,random,10,Maximum Evidence,9,0.15667152404785156
300,12,min_degree,1,Lowest Evidence,0,0.16727423667907715
301,12,min_degree,1,Lowest Evidence,1,0.1699049472808838
302,12,min_degree,1,Lowest Evidence,2,0.16975092887878418
303,12,min_degree,1,Lowest Evidence,3,0.17016029357910156
304,12,min_degree,1,Lowest Evidence,4,0.1803579330444336
305,12,min_degree,1,Lowest Evidence,5,0.1705951690673828
306,12,min_degree,1,Lowest Evidence,6,0.1597151756286621
307,12,min_degree,1,Lowest Evidence,7,0.16527509689331055
308,12,min_degree,1,Lowest Evidence,8,0.1654672622680664
309,12,min_degree,1,Lowest Evidence,9,0.1668555736541748
310,12,min_degree,3,25% Evidence,0,0.16469669342041016
311,12,min_degree,3,25% Evidence,1,0.16988205909729004
312,12,min_degree,3,25% Evidence,2,0.1723182201385498
313,12,min_degree,3,25% Evidence,3,0.1718757152557373
314,12,min_degree,3,25% Evidence,4,0.17335128784179688
315,12,min_degree,3,25% Evidence,5,0.1728506088256836
316,12,min_degree,3,25% Evidence,6,0.16489624977111816
317,12,min_degree,3,25% Evidence,7,0.16391420364379883
318,12,min_degree,3,25% Evidence,8,0.16379642486572266
319,12,min_degree,3,25% Evidence,9,0.16724205017089844
320,12,min_degree,6,50% Evidence,0,0.16398000717163086
321,12,min_degree,6,50% Evidence,1,0.16606664657592773
322,12,min_degree,6,50% Evidence,2,0.17181873321533203
323,12,min_degree,6,50% Evidence,3,0.1712343692779541
324,12,min_degree,6,50% Evidence,4,0.1707470417022705
325,12,min_degree,6,50% Evidence,5,0.17144107818603516
326,12,min_degree,6,50% Evidence,6,0.16254115104675293
327,12,min_degree,6,50% Evidence,7,0.15657544136047363
328,12,min_degree,6,50% Evidence,8,0.15622711181640625
329,12,min_degree,6,50% Evidence,9,0.15595602989196777
330,12,min_degree,9,75% Evidence,0,0.15556859970092773
331,12,min_degree,9,75% Evidence,1,0.16049790382385254
332,12,min_degree,9,75% Evidence,2,0.16235852241516113
333,12,min_degree,9,75% Evidence,3,0.1633133888244629
334,12,min_degree,9,75% Evidence,4,0.16457462310791016
335,12,min_degree,9,75% Evidence,5,0.16713356971740723
336,12,min_degree,9,75% Evidence,6,0.1621410846710205
337,12,min_degree,9,75% Evidence,7,0.15746188163757324
338,12,min_degree,9,75% Evidence,8,0.15615439414978027
339,12,min_degree,9,75% Evidence,9,0.15765094757080078
340,12,min_degree,11,Maximum Evidence,0,0.16028594970703125
341,12,min_degree,11,Maximum Evidence,1,0.16199564933776855
342,12,min_degree,11,Maximum Evidence,2,0.16069889068603516
343,12,min_degree,11,Maximum Evidence,3,0.16559958457946777
344,12,min_degree,11,Maximum Evidence,4,0.1661672592163086
345,12,min_degree,11,Maximum Evidence,5,0.16829442977905273
346,12,min_degree,11,Maximum Evidence,6,0.16755342483520508
347,12,min_degree,11,Maximum Evidence,7,0.15945672988891602
348,12,min_degree,11,Maximum Evidence,8,0.1562976837158203
349,12,min_degree,11,Maximum Evidence,9,0.15808439254760742
350,12,min_fill,1,Lowest Evidence,0,0.17142128944396973
351,12,min_fill,1,Lowest Evidence,1,0.17024517059326172
352,12,min_fill,1,Lowest Evidence,2,0.17228913307189941
353,12,min_fill,1,Lowest Evidence,3,0.17871689796447754
354,12,min_fill,1,Lowest Evidence,4,0.17851638793945312
355,12,min_fill,1,Lowest Evidence,5,0.17943310737609863
356,12,min_fill,1,Lowest Evidence,6,0.18056893348693848
357,12,min_fill,1,Lowest Evidence,7,0.16907691955566406
358,12,min_fill,1,Lowest Evidence,8,0.16668128967285156
359,12,min_fill,1,Lowest Evidence,9,0.16690444946289062
360,12,min_fill,3,25% Evidence,0,0.16309332847595215
361,12,min_fill,3,25% Evidence,1,0.16765975952148438
362,12,min_fill,3,25% Evidence,2,0.17180132865905762
363,12,min_fill,3,25% Evidence,3,0.1692218780517578
364,12,min_fill,3,25% Evidence,4,0.16903424263000488
365,12,min_fill,3,25% Evidence,5,0.17792892456054688
366,12,min_fill,3,25% Evidence,6,0.17740201950073242
367,12,min_fill,3,25% Evidence,7,0.1697704792022705
368,12,min_fill,3,25% Evidence,8,0.17022371292114258
369,12,min_fill,3,25% Evidence,9,0.1717219352722168
370,12,min_fill,6,50% Evidence,0,0.16839075088500977
371,12,min_fill,6,50% Evidence,1,0.16801929473876953
372,12,min_fill,6,50% Evidence,2,0.16881036758422852
373,12,min_fill,6,50% Evidence,3,0.17718243598937988
374,12,min_fill,6,50% Evidence,4,0.17412042617797852
375,12,min_fill,6,50% Evidence,5,0.17278695106506348
376,12,min_fill,6,50% Evidence,6,0.1727139949798584
377,12,min_fill,6,50% Evidence,7,0.16339612007141113
378,12,min_fill,6,50% Evidence,8,0.16433095932006836
379,12,min_fill,6,50% Evidence,9,0.16393089294433594
380,12,min_fill,9,75% Evidence,0,0.16617321968078613
381,12,min_fill,9,75% Evidence,1,0.16369938850402832
382,12,min_fill,9,75% Evidence,2,0.16218852996826172
383,12,min_fill,9,75% Evidence,3,0.1709270477294922
384,12,min_fill,9,75% Evidence,4,0.17011475563049316
385,12,min_fill,9,75% Evidence,5,0.17091107368469238
386,12,min_fill,9,75% Evidence,6,0.17196178436279297
387,12,min_fill,9,75% Evidence,7,0.16475605964660645
388,12,min_fill,9,75% Evidence,8,0.16194820404052734
389,12,min_fill,9,75% Evidence,9,0.16141724586486816
390,12,min_fill,11,Maximum Evidence,0,0.16463947296142578
391,12,min_fill,11,Maximum Evidence,1,0.1632709503173828
392,12,min_fill,11,Maximum Evidence,2,0.1668407917022705
393,12,min_fill,11,Maximum Evidence,3,0.17158770561218262
394,12,min_fill,11,Maximum Evidence,4,0.17271065711975098
395,12,min_fill,11,Maximum Evidence,5,0.17438793182373047
